id,title,snippet,url
1308.4318,,,https://arxiv.org/abs/1308.4318
2003.10428,,,https://arxiv.org/abs/2003.10428
1912.11851,,,https://arxiv.org/abs/1912.11851
2008.13751,,,https://arxiv.org/abs/2008.13751
1907.11711,,,https://arxiv.org/abs/1907.11711
1905.04449,,,https://arxiv.org/abs/1905.04449
1903.10179,,,https://arxiv.org/abs/1903.10179
2501.05555,,,https://arxiv.org/abs/2501.05555
2302.04143v2,,,https://arxiv.org/abs/2302.04143v2
1903.03040v2,,,https://arxiv.org/abs/1903.03040v2
2301.00942v1,,,https://arxiv.org/abs/2301.00942v1
2012.06469v1,,,https://arxiv.org/abs/2012.06469v1
2011.03712v1,,,https://arxiv.org/abs/2011.03712v1
1912.04229v1,,,https://arxiv.org/abs/1912.04229v1
2008.11625v3,,,https://arxiv.org/abs/2008.11625v3
2107.09957v2,,,https://arxiv.org/abs/2107.09957v2
1912.06732v2,,,https://arxiv.org/abs/1912.06732v2
2306.11113v2,,,https://arxiv.org/abs/2306.11113v2
1905.00322v3,,,https://arxiv.org/abs/1905.00322v3
2003.13659v4,,,https://arxiv.org/abs/2003.13659v4
2211.07286v1,,,https://arxiv.org/abs/2211.07286v1
2407.11087v3,,,https://arxiv.org/abs/2407.11087v3
2406.07435v1,,,https://arxiv.org/abs/2406.07435v1
2301.02033v1,,,https://arxiv.org/abs/2301.02033v1
1911.03991v1,,,https://arxiv.org/abs/1911.03991v1
1912.05189v2,,,https://arxiv.org/abs/1912.05189v2
2412.03084v2,,,https://arxiv.org/abs/2412.03084v2
2110.13526v1,,,https://arxiv.org/abs/2110.13526v1
1802.09313v1,,,https://arxiv.org/abs/1802.09313v1
2401.14786v1,,,https://arxiv.org/abs/2401.14786v1
0812.3137v1,,,https://arxiv.org/abs/0812.3137v1
2401.14762v1,,,https://arxiv.org/abs/2401.14762v1
2401.10400v3,,,https://arxiv.org/abs/2401.10400v3
2601.15248v1,,,https://arxiv.org/abs/2601.15248v1
1710.10444v3,,,https://arxiv.org/abs/1710.10444v3
2306.12698v3,,,https://arxiv.org/abs/2306.12698v3
1507.00794v3,,,https://arxiv.org/abs/1507.00794v3
1609.04846v1,,,https://arxiv.org/abs/1609.04846v1
1909.09006v1,,,https://arxiv.org/abs/1909.09006v1
2502.01654v1,,,https://arxiv.org/abs/2502.01654v1
2205.04204v2,,,https://arxiv.org/abs/2205.04204v2
2004.04668v4,,,https://arxiv.org/abs/2004.04668v4
1803.02421v2,,,https://arxiv.org/abs/1803.02421v2
2310.02576v2,,,https://arxiv.org/abs/2310.02576v2
1712.02847,,,https://arxiv.org/abs/1712.02847
1707.06474,,,https://arxiv.org/abs/1707.06474
