id,title,snippet,url
2308.10363,,,https://arxiv.org/abs/2308.10363
1508.00275,,,https://arxiv.org/abs/1508.00275
2405.13341,,,https://arxiv.org/abs/2405.13341
2501.08573,,,https://arxiv.org/abs/2501.08573
2402.09563,,,https://arxiv.org/abs/2402.09563
2303.13994,,,https://arxiv.org/abs/2303.13994
2007.02934,,,https://arxiv.org/abs/2007.02934
2202.13695,,,https://arxiv.org/abs/2202.13695
2006.05048,,,https://arxiv.org/abs/2006.05048
1311.5108,,,https://arxiv.org/abs/1311.5108
2301.07567,,,https://arxiv.org/abs/2301.07567
2310.06846,,,https://arxiv.org/abs/2310.06846
2402.09161,,,https://arxiv.org/abs/2402.09161
2306.04338v1,,,https://arxiv.org/abs/2306.04338v1
2006.16189v4,,,https://arxiv.org/abs/2006.16189v4
2201.12150v2,,,https://arxiv.org/abs/2201.12150v2
2304.02381v2,,,https://arxiv.org/abs/2304.02381v2
2302.08893v4,,,https://arxiv.org/abs/2302.08893v4
1905.04749v2,,,https://arxiv.org/abs/1905.04749v2
2303.15563v1,,,https://arxiv.org/abs/2303.15563v1
2509.08759v3,,,https://arxiv.org/abs/2509.08759v3
1705.05172v1,,,https://arxiv.org/abs/1705.05172v1
2404.12511v1,,,https://arxiv.org/abs/2404.12511v1
2604.03350v1,,,https://arxiv.org/abs/2604.03350v1
2209.05109v1,,,https://arxiv.org/abs/2209.05109v1
2504.18693v1,,,https://arxiv.org/abs/2504.18693v1
1901.03951v1,,,https://arxiv.org/abs/1901.03951v1
2007.04192v1,,,https://arxiv.org/abs/2007.04192v1
2503.21676v2,,,https://arxiv.org/abs/2503.21676v2
2409.02228v1,,,https://arxiv.org/abs/2409.02228v1
2409.00742v1,,,https://arxiv.org/abs/2409.00742v1
2503.22726v1,,,https://arxiv.org/abs/2503.22726v1
2001.11843v1,,,https://arxiv.org/abs/2001.11843v1
1812.02726v2,,,https://arxiv.org/abs/1812.02726v2
1003.3784v1,,,https://arxiv.org/abs/1003.3784v1
2503.00142v1,,,https://arxiv.org/abs/2503.00142v1
2603.17786v1,,,https://arxiv.org/abs/2603.17786v1
2007.11680v2,,,https://arxiv.org/abs/2007.11680v2
2203.14669v1,,,https://arxiv.org/abs/2203.14669v1
2207.14140v1,,,https://arxiv.org/abs/2207.14140v1
1104.3098v3,,,https://arxiv.org/abs/1104.3098v3
0905.4057v1,,,https://arxiv.org/abs/0905.4057v1
2203.06088v1,,,https://arxiv.org/abs/2203.06088v1
2105.11650v1,,,https://arxiv.org/abs/2105.11650v1
1508.04145v1,,,https://arxiv.org/abs/1508.04145v1
2107.10801v7,,,https://arxiv.org/abs/2107.10801v7
2509.10152v1,,,https://arxiv.org/abs/2509.10152v1
2202.04591v2,,,https://arxiv.org/abs/2202.04591v2
1410.3811v2,,,https://arxiv.org/abs/1410.3811v2
1410.3860v2,,,https://arxiv.org/abs/1410.3860v2
1806.08278v1,,,https://arxiv.org/abs/1806.08278v1
1410.4866v2,,,https://arxiv.org/abs/1410.4866v2
1403.1574v2,,,https://arxiv.org/abs/1403.1574v2
1910.08476v2,,,https://arxiv.org/abs/1910.08476v2
2602.12375v1,,,https://arxiv.org/abs/2602.12375v1
2205.12888v1,,,https://arxiv.org/abs/2205.12888v1
1910.02140v3,,,https://arxiv.org/abs/1910.02140v3
1808.04096v1,,,https://arxiv.org/abs/1808.04096v1
2512.04697v2,,,https://arxiv.org/abs/2512.04697v2
1912.02532v1,,,https://arxiv.org/abs/1912.02532v1
2103.07585v1,,,https://arxiv.org/abs/2103.07585v1
1906.04452v1,,,https://arxiv.org/abs/1906.04452v1
2004.08883v4,,,https://arxiv.org/abs/2004.08883v4
1002.3035v1,,,https://arxiv.org/abs/1002.3035v1
0901.3028v1,,,https://arxiv.org/abs/0901.3028v1
1801.08829v2,,,https://arxiv.org/abs/1801.08829v2
2502.08597v2,,,https://arxiv.org/abs/2502.08597v2
1311.0414v1,,,https://arxiv.org/abs/1311.0414v1
1110.6589v1,,,https://arxiv.org/abs/1110.6589v1
2111.12860v8,,,https://arxiv.org/abs/2111.12860v8
1202.4918v2,,,https://arxiv.org/abs/1202.4918v2
2301.08745v4,,,https://arxiv.org/abs/2301.08745v4
2110.10980v1,,,https://arxiv.org/abs/2110.10980v1
2301.13867v2,,,https://arxiv.org/abs/2301.13867v2
2304.06488v1,,,https://arxiv.org/abs/2304.06488v1
2304.03277v1,,,https://arxiv.org/abs/2304.03277v1
2111.04380v1,,,https://arxiv.org/abs/2111.04380v1
1203.5452v1,,,https://arxiv.org/abs/1203.5452v1
2303.13375v2,,,https://arxiv.org/abs/2303.13375v2
2402.11651v2,,,https://arxiv.org/abs/2402.11651v2
2405.08032v2,,,https://arxiv.org/abs/2405.08032v2
2512.13930v1,,,https://arxiv.org/abs/2512.13930v1
2601.21235v1,,,https://arxiv.org/abs/2601.21235v1
1303.0093v1,,,https://arxiv.org/abs/1303.0093v1
2502.19193v1,,,https://arxiv.org/abs/2502.19193v1
2503.19586v2,,,https://arxiv.org/abs/2503.19586v2
1309.1747v1,,,https://arxiv.org/abs/1309.1747v1
2312.10793v3,,,https://arxiv.org/abs/2312.10793v3
