id,title,snippet,url
1706.06368,,,https://arxiv.org/abs/1706.06368
1802.07281,,,https://arxiv.org/abs/1802.07281
1805.06144,,,https://arxiv.org/abs/1805.06144
2310.12785,,,https://arxiv.org/abs/2310.12785
2010.06083,,,https://arxiv.org/abs/2010.06083
2103.14000,,,https://arxiv.org/abs/2103.14000
2009.02468,,,https://arxiv.org/abs/2009.02468
1706.03368,,,https://arxiv.org/abs/1706.03368
1805.08716,,,https://arxiv.org/abs/1805.08716
2106.08570,,,https://arxiv.org/abs/2106.08570
2306.04338v1,,,https://arxiv.org/abs/2306.04338v1
2006.16189v4,,,https://arxiv.org/abs/2006.16189v4
2201.12150v2,,,https://arxiv.org/abs/2201.12150v2
2007.15745v3,,,https://arxiv.org/abs/2007.15745v3
2302.08893v4,,,https://arxiv.org/abs/2302.08893v4
2304.02381v2,,,https://arxiv.org/abs/2304.02381v2
2303.15563v1,,,https://arxiv.org/abs/2303.15563v1
1905.04749v2,,,https://arxiv.org/abs/1905.04749v2
2501.09687v1,,,https://arxiv.org/abs/2501.09687v1
1705.05172v1,,,https://arxiv.org/abs/1705.05172v1
2506.01594v2,,,https://arxiv.org/abs/2506.01594v2
2504.14991v1,,,https://arxiv.org/abs/2504.14991v1
2311.15691v1,,,https://arxiv.org/abs/2311.15691v1
2007.00088v1,,,https://arxiv.org/abs/2007.00088v1
1910.07870v2,,,https://arxiv.org/abs/1910.07870v2
2102.01203v3,,,https://arxiv.org/abs/2102.01203v3
2501.14710v1,,,https://arxiv.org/abs/2501.14710v1
2603.28675v1,,,https://arxiv.org/abs/2603.28675v1
2503.07066v1,,,https://arxiv.org/abs/2503.07066v1
2204.03046v2,,,https://arxiv.org/abs/2204.03046v2
2509.18067v1,,,https://arxiv.org/abs/2509.18067v1
2602.03345v1,,,https://arxiv.org/abs/2602.03345v1
2209.13019v1,,,https://arxiv.org/abs/2209.13019v1
2205.07647v1,,,https://arxiv.org/abs/2205.07647v1
2205.12901v1,,,https://arxiv.org/abs/2205.12901v1
2506.14349v1,,,https://arxiv.org/abs/2506.14349v1
2308.06233v1,,,https://arxiv.org/abs/2308.06233v1
2205.00048v1,,,https://arxiv.org/abs/2205.00048v1
2310.13612v2,,,https://arxiv.org/abs/2310.13612v2
1906.08386v6,,,https://arxiv.org/abs/1906.08386v6
2405.04025v2,,,https://arxiv.org/abs/2405.04025v2
2003.06920v1,,,https://arxiv.org/abs/2003.06920v1
1907.02242v2,,,https://arxiv.org/abs/1907.02242v2
2303.07429v1,,,https://arxiv.org/abs/2303.07429v1
2111.08878v3,,,https://arxiv.org/abs/2111.08878v3
2305.16637v2,,,https://arxiv.org/abs/2305.16637v2
2405.04034v1,,,https://arxiv.org/abs/2405.04034v1
2511.01861v1,,,https://arxiv.org/abs/2511.01861v1
1805.04788v3,,,https://arxiv.org/abs/1805.04788v3
2602.19969v1,,,https://arxiv.org/abs/2602.19969v1
